
================= bg (101 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
 191  0.1   216  16  76  #b8c0cc   x1    product/ProductFaqs.tsx
 203  0.07  219  14  80  #c6cbd4   x1    product/ProductFaqs.tsx
 209  0.06  138  14  81  #c9d6cd   x4    admin/AdminBlogAutomation.tsx
 215  0.11  133  28  83  #c8e0cd   x1    admin/AdminDashboard.tsx
 218  0.2     0  96  89  #fecaca   x1    order-tracker/OrderTrackerClient.tsx
 223  0.06  134  19  87  #d7e4da   x3    admin/AdminBlogAutomation.tsx
 241  0.07   41  47  93  #f6f1e6   x1    combo/ComboBuilder.tsx

================= border (64 distinct, sorted by luma) =================
luma  sat   H   S   L   hex       xN   sample files
  47  0.34    6  21  20  #3d2a28   x1    admin/AdminBlogAutomation.tsx
  47  0.62  156  45  16  #173c2d   x1    admin/MediaLibrary.tsx
  52  0.26  140  15  20  #2b3a30   x12   admin/AdminBlogAutomation.tsx
  59  0.58  151  41  21  #1f4a35   x1    admin/AdminBlogAutomation.tsx
  63  0.42  155  26  23  #2b4a3d   x4    [order]/page.tsx
  64  0.36  144  22  24  #2f4a3a   x2    home/HeroSection.tsx
  65  0.36  156  22  24  #2f4a3f   x1    layout/NewsletterSignup.tsx
  68  0.58  151  41  24  #24563e   x6    admin/AdminArticleEditor.tsx
 100  0.74   15  59  42  #ac4b2c   x1    admin/MediaLibrary.tsx
 136  0.27  133  17  52  #6f9878   x2    admin/AdminArticleEditor.tsx
 189  0.2    34  28  72  #ccbba4   x8    [handle]/page.tsx
 189  0.24  136  34  72  #9fd0ac   x1    admin/AdminBlogAutomation.tsx
 190  0.21   35  30  72  #cdbba2   x2    layout/MobileDrawer.tsx
 191  0.19   33  28  73  #cdbca7   x2    layout/NewsletterSignup.tsx
 197  0.06  145  10  76  #bdc9c2   x2    auth/LoginForm.tsx
 199  0.14   34  25  76  #d2c5b4   x1    auth/OrdersListClient.tsx
 199  0.19   35  33  76  #d6c5ae   x1    layout/NewsletterSignup.tsx
 200  0.13   34  24  77  #d2c6b6   x5    order-placed/OrderPlacedStatusCard.tsx
 202  0.18   35  33  77  #d8c8b2   x1    layout/MobileDrawer.tsx
 202  0.15   33  29  78  #d7c8b6   x1    layout/NewsletterSignup.tsx
 202  0.16   34  30  77  #d7c8b4   x1    order-tracker/TrackingEntriesClient.tsx
 205  0.14   35  28  79  #d8cbb9   x1    [order]/page.tsx
 206  0.15   36  30  79  #d9ccb9   x4    [handle]/page.tsx
 206  0.11   35  23  80  #d7cdbf   x1    checkout/CheckoutClient.tsx
 208  0.06  130  13  81  #c9d5cb   x1    admin/AdminDashboard.tsx
 208  0.08  102  17  81  #cad6c5   x1    checkout/CheckoutClient.tsx
 209  0.06  134  14  81  #c9d6cc   x1    admin/AdminArticleEditor.tsx
 210  0.09   39  20  81  #d8d1c4   x1    checkout/CheckoutClient.tsx
 211  0.06   97  14  82  #cfd7ca   x5    [order]/page.tsx
 211  0.12   36  28  81  #ddd2c2   x4    privacy-policy/page.tsx
 211  0.13   36  29  81  #ddd2c1   x2    auth/OrderLineItemsClient.tsx
 212  0.13   35  31  81  #ded2c1   x1    order-placed/OrderPlacedStatusCard.tsx
 213  0.05   76  12  82  #d4d7cc   x1    cart/CartClient.tsx
 217  0.11   36  30  84  #e2d8c9   x1    [order]/page.tsx
 217  0.12   37  31  84  #e2d8c8   x8    shipping-returns/page.tsx
 217  0.08   70  20  83  #d9dcca   x1    shipping-returns/page.tsx
 217  0.12   35  31  84  #e2d7c8   x1    auth/OrdersListClient.tsx
 218  0.11   36  31  84  #e3d9ca   x13   [order]/page.tsx
 218  0.03  137   9  85  #d6ddd8   x4    auth/LoginForm.tsx
 219  0.04  120  14  85  #d5dfd5   x2    admin/AdminArticleEditor.tsx
 220  0.1    37  30  85  #e4dbcd   x1    reviews/OrderProductReviewBox.tsx
 221  0.11   36  33  85  #e6dccd   x1    shipping-returns/page.tsx
 221  0.04  133  13  86  #d7e0d9   x18   admin/AdminArticleEditor.tsx
 222  0.1    37  32  86  #e6ddcf   x4    contact/page.tsx
 222  0.07  128  22  86  #d5e4d7   x1    admin/AdminDashboard.tsx
 222  0.06  115  19  86  #d7e3d6   x1    auth/SucculentAuthLoader.tsx
 222  0.08   37  25  86  #e4ddd2   x3    combo/ComboBuilder.tsx
 223  0.11   37  36  86  #e8dece   x33   [order]/page.tsx
 223  0.11   35  36  86  #e8ddce   x1    order-placed/OrderPlacedStatusCard.tsx
 223  0.12   36  38  86  #e9dece   x3    privacy-policy/page.tsx
 223  0.33   32 100  84  #ffd8ac   x1    cart/CartClient.tsx
 223  0.1    33  34  86  #e8ddd0   x1    product/RecommendedProducts.tsx
 224  0.12   36  40  86  #eadfce   x1    shipping-returns/page.tsx
 224  0.12   36  39  86  #eadfcf   x1    cart/CartClient.tsx
 225  0.04  120  15  88  #dce5dc   x2    admin/AdminDashboard.tsx
 225  0.22   16 100  89  #ffd6c7   x1    cart/CartClient.tsx
 226  0.11   36  38  87  #ebe1d2   x1    auth/OrdersListClient.tsx
 227  0.1    37  37  88  #ebe2d4   x1    order-placed/OrderPlacedStatusCard.tsx
 230  0.06    0  32  91  #f0e2e2   x5    admin/AdminAutomationSection.tsx
 230  0.03  120  12  90  #e2e8e2   x6    admin/AdminBlogAutomation.tsx
 231  0.08    6  44  92  #f3e2e0   x1    admin/AdminAutomationSection.tsx
 232  0.28   38 100  86  #ffe5b8   x1    cart/CartClient.tsx
 239  0.01  120   9  94  #edf0ed   x11   admin/AdminAutomationSection.tsx
 240  0.02  120  13  94  #eef2ee   x4    admin/AdminArticleEditor.tsx
